province,census_division_name,city,odhf_facility_type,facilities
qc,Pontiac,shawville,Ambulatory health care services,1
on,Toronto,scarborough,Hospitals,2
on,Lambton,lambton shores,Nursing and residential care facilities,2
ab,Unknown,slave lake,Ambulatory health care services,1
on,Durham,ajax,Hospitals,1
on,Simcoe,collingwood,Nursing and residential care facilities,8
nb,Albert,riverview,Ambulatory health care services,1
sk,Division No.  6,montmartre,Ambulatory health care services,1
on,Nipissing,temagami,Ambulatory health care services,1
on,Elgin,wardsville,Nursing and residential care facilities,1
qc,Montréal,pointe-claire,Hospitals,1
on,Haliburton,minden,Hospitals,1
sk,Division No.  5,broadview,Ambulatory health care services,1
ab,Division No. 15,banff,Hospitals,1
bc,East Kootenay,cranbrook,Hospitals,1
on,"Stormont, Dundas and Glengarry",akwesasne,Nursing and residential care facilities,1
qc,Portneuf,rivière-à-pierre,Ambulatory health care services,1
ab,Unknown,lethbridge,Ambulatory health care services,2
ab,Division No. 12,cold lake,Hospitals,1
on,Wellington,fergus,Nursing and residential care facilities,3
on,Niagara,port colborne,Hospitals,1
on,Huron,clinton,Hospitals,1
qc,Abitibi-Ouest,normétal,Ambulatory health care services,1
bc,Squamish-Lillooet,squamish,Hospitals,1
qc,Longueuil,boucherville,Nursing and residential care facilities,2
sk,Unknown,estevan,Hospitals,1
bc,Cowichan Valley,duncan,Ambulatory health care services,2
ab,Division No. 14,edson,Hospitals,1
on,Halton,burlington,Nursing and residential care facilities,21
pe,Prince,tignish,Nursing and residential care facilities,1
bc,Okanagan-Similkameen,summerland,Nursing and residential care facilities,2
sk,Division No.  2,radville,Hospitals,1
bc,Unknown,kamloops,Nursing and residential care facilities,1
ns,Kings,kentville,Hospitals,1
bc,Columbia-Shuswap,golden,Hospitals,1
bc,Greater Vancouver,vancouver,Nursing and residential care facilities,100
on,Unknown,st catharines,Nursing and residential care facilities,1
ab,Unknown,calgary,Ambulatory health care services,17
on,Peterborough,peterborough,Nursing and residential care facilities,17
on,Parry Sound,burks falls,Ambulatory health care services,1
on,Thunder Bay,thunder bay,Ambulatory health care services,26
ns,Cape Breton,north sydney,Hospitals,1
sk,Division No.  6,balcarres,Hospitals,1
nb,Gloucester,inkerman,Nursing and residential care facilities,1
on,Simcoe,new tecumseth,Nursing and residential care facilities,4
qc,Unknown,fermont,Hospitals,1
ns,Lunenburg,lunenburg,Hospitals,1
ab,Division No. 19,fairview,Hospitals,1
bc,Unknown,hope,Nursing and residential care facilities,1
sk,Division No.  9,canora,Hospitals,1
sk,Division No. 18,buffalo narrows,Ambulatory health care services,1
on,Hastings,deseronto,Ambulatory health care services,1
on,Niagara,niagara-on-the-lake,Hospitals,1
qc,Unknown,rouyn-noranda,Hospitals,1
nl,Division No.  9,norris point,Hospitals,1
pe,Queens,hunter river,Nursing and residential care facilities,1
bc,Capital,sidney,Ambulatory health care services,1
on,Durham,courtice,Nursing and residential care facilities,2
on,Timiskaming,englehart,Hospitals,1
qc,Laval,laval,Nursing and residential care facilities,28
on,Essex,leamington,Ambulatory health care services,3
bc,Greater Vancouver,maple ridge,Nursing and residential care facilities,19
mb,Division No. 23,lynn lake,Hospitals,1
sk,Unknown,birch hills,Nursing and residential care facilities,1
on,Simcoe,waubaushene,Nursing and residential care facilities,1
qc,Maria-Chapdelaine,normandin,Ambulatory health care services,1
qc,Marguerite-D'Youville,varennes,Ambulatory health care services,2
on,Thunder Bay,terrace bay,Nursing and residential care facilities,1
qc,Vaudreuil-Soulanges,rigaud,Nursing and residential care facilities,1
qc,Nicolet-Yamaska,pierreville,Nursing and residential care facilities,1
on,Parry Sound,killarney,Ambulatory health care services,1
bc,East Kootenay,fernie,Hospitals,1
on,Manitoulin,little current,Ambulatory health care services,2
qc,Unknown,drummondville,Hospitals,1
qc,Drummond,notre-dame-du-bon-conseil,Nursing and residential care facilities,1
on,Waterloo,elmira,Nursing and residential care facilities,3
qc,Brome-Missisquoi,sutton,Nursing and residential care facilities,1
qc,Francheville,sainte-anne-de-la-pérade,Nursing and residential care facilities,1
bc,Okanagan-Similkameen,keremeos,Ambulatory health care services,1
sk,Division No.  1,estevan,Hospitals,1
on,Huron,goderich,Ambulatory health care services,3
qc,Minganie--Le Golfe-du-Saint-Laurent,baie-johan-beetz,Ambulatory health care services,1
on,Kawartha Lakes,kawartha lakes,Ambulatory health care services,2
qc,Thérèse-De Blainville,rosemère,Nursing and residential care facilities,1
ab,Division No. 13,whitecourt,Hospitals,1
qc,Nord-du-Québec,kuujjuarapik,Hospitals,1
on,Essex,south woodslee,Nursing and residential care facilities,1
qc,Portneuf,saint-raymond,Nursing and residential care facilities,2
qc,Unknown,châteauguay,Hospitals,1
ns,Inverness,port hood,Nursing and residential care facilities,1
on,Waterloo,cambridge,Ambulatory health care services,7
bc,Unknown,white rock,Nursing and residential care facilities,1
on,Hastings,quinte west,Ambulatory health care services,2
ns,Cumberland,pugwash,Nursing and residential care facilities,1
pe,Queens,north rustico,Nursing and residential care facilities,1
on,Cochrane,cochrane,Hospitals,1
bc,Greater Vancouver,richmond,Ambulatory health care services,10
qc,Montcalm,saint-jacques,Nursing and residential care facilities,1
ns,Inverness,inverness,Nursing and residential care facilities,1
on,Middlesex,komoka,Nursing and residential care facilities,1
on,Unknown,toronto,Hospitals,6
mb,Unknown,brochet,Hospitals,1
yt,Unknown,old crow,Ambulatory health care services,1
qc,Les Pays-d'en-Haut,piedmont,Ambulatory health care services,1
on,Renfrew,renfrew,Ambulatory health care services,3
bc,Fraser Valley,hope,Ambulatory health care services,1
nb,Restigouche,saint-quentin,Hospitals,1
nl,Unknown,robert's arm,Ambulatory health care services,1
qc,Matawinie,chertsey,Ambulatory health care services,1
qc,Unknown,longueuil,Hospitals,1
qc,La Haute-Gaspésie,sainte-anne-des-monts,Ambulatory health care services,1
qc,Rouyn-Noranda,rouyn-noranda,Nursing and residential care facilities,3
qc,Marguerite-D'Youville,saint-amable,Ambulatory health care services,1
sk,Unknown,cumberland house,Nursing and residential care facilities,1
qc,L'Île-d'Orléans,saint-pierre-de-l'île-d'orléans,Nursing and residential care facilities,1
qc,Nord-du-Québec,chisasibi,Hospitals,1
on,Middlesex,ailsa craig,Ambulatory health care services,1
on,Rainy River,rainy river,Nursing and residential care facilities,1
on,Rainy River,atikokan,Hospitals,1
bc,Okanagan-Similkameen,osoyoos,Nursing and residential care facilities,2
ab,Division No. 12,st paul,Hospitals,1
pe,Prince,o'leary,Hospitals,1
qc,Sept-Rivières--Caniapiscau,port-cartier,Hospitals,1
on,Algoma,thessalon,Ambulatory health care services,2
bc,Unknown,vancouver,Hospitals,1
on,Simcoe,orillia,Hospitals,1
sk,Division No. 10,,Ambulatory health care services,1
bc,East Kootenay,cranbrook,Nursing and residential care facilities,7
bc,Alberni-Clayoquot,tofino,Hospitals,1
qc,La Haute-Yamaska,granby,Hospitals,4
qc,Témiscouata,témiscouata-sur-le-lac,Hospitals,1
on,Wellington,palmerston,Nursing and residential care facilities,1
ns,Halifax,hammonds plains,Nursing and residential care facilities,1
ns,Colchester,tatamagouche,Nursing and residential care facilities,1
bc,Greater Vancouver,maple ridge,Ambulatory health care services,2
qc,Abitibi,amos,Hospitals,2
mb,Division No.  9,,Ambulatory health care services,1
on,Wellington,minto,Nursing and residential care facilities,2
on,Rainy River,fort frances,Nursing and residential care facilities,2
qc,Montmagny,montmagny,Ambulatory health care services,2
bc,Thompson-Nicola,knutsford,Nursing and residential care facilities,1
qc,Québec,wendake,Nursing and residential care facilities,1
bc,Kootenay Boundary,fruitvale,Nursing and residential care facilities,1
on,Essex,kingsville,Nursing and residential care facilities,4
qc,Maskinongé,louiseville,Hospitals,1
on,Hastings,belleville,Ambulatory health care services,11
yt,Unknown,beaver creek,Ambulatory health care services,1
on,Leeds and Grenville,gananoque,Nursing and residential care facilities,2
qc,Matawinie,saint-donat,Nursing and residential care facilities,1
sk,Division No.  6,fort quappelle,Hospitals,1
qc,La Matapédia,causapscal,Ambulatory health care services,1
bc,Unknown,west kelowna,Nursing and residential care facilities,1
on,Toronto,toronto,Nursing and residential care facilities,206
mb,Division No. 11,winnipeg,Nursing and residential care facilities,2
mb,Division No.  1,vita,Hospitals,1
pe,Kings,montague,Hospitals,1
qc,Pontiac,l'isle-aux-allumettes,Ambulatory health care services,1
on,Grey,owen sound,Ambulatory health care services,12
nl,Unknown,st johns,Nursing and residential care facilities,5
bc,Central Okanagan,westbank,Nursing and residential care facilities,1
sk,Unknown,arborfield,Ambulatory health care services,1
on,Bruce,chesley,Hospitals,1
ab,Division No. 13,athabasca,Hospitals,1
on,Prescott and Russell,casselman,Hospitals,1
qc,La Nouvelle-Beauce,sainte-marie,Ambulatory health care services,2
on,Simcoe,collingwood,Hospitals,1
ab,Division No.  8,bentley,Nursing and residential care facilities,1
ns,Cumberland,advocate harbour,Nursing and residential care facilities,2
nl,Unknown,carbonear,Nursing and residential care facilities,1
nb,Restigouche,dalhousie,Nursing and residential care facilities,1
on,Lanark,carleton place,Nursing and residential care facilities,5
on,Haldimand-Norfolk,courtland,Nursing and residential care facilities,1
qc,Portneuf,pont-rouge,Ambulatory health care services,1
sk,Division No.  1,estevan,Ambulatory health care services,2
mb,Division No.  4,swan lake,Hospitals,1
qc,Arthabaska,ham-nord,Ambulatory health care services,1
qc,Montcalm,saint-esprit,Ambulatory health care services,1
sk,Division No. 18,cumberland house,Ambulatory health care services,1
bc,Unknown,fort nelson,Nursing and residential care facilities,1
bc,Greater Vancouver,vancouver,Hospitals,11
sk,Division No. 10,lestock,Hospitals,1
sk,Division No.  5,langenburg,Nursing and residential care facilities,1
on,Manitoulin,manitowaning,Ambulatory health care services,1
bc,Unknown,chetwynd,Nursing and residential care facilities,1
qc,Charlevoix,l'isle-aux-coudres,Ambulatory health care services,1
on,"Stormont, Dundas and Glengarry",winchester,Hospitals,1
qc,La Vallée-du-Richelieu,chambly,Nursing and residential care facilities,3
bc,Fraser Valley,mission,Nursing and residential care facilities,8
qc,Nord-du-Québec,wemindji,Ambulatory health care services,2
qc,Beauce-Sartigan,saint-gédéon-de-beauce,Ambulatory health care services,1
on,Prescott and Russell,blondeau,Nursing and residential care facilities,1
ns,Pictou,trenton,Nursing and residential care facilities,1
qc,Le Saguenay-et-son-Fjord,saguenay,Nursing and residential care facilities,13
on,Northumberland,cobourg,Nursing and residential care facilities,8
sk,Unknown,yorkton,Hospitals,1
ab,Division No.  4,consort,Hospitals,1
sk,Division No.  5,melville,Hospitals,1
nb,York,fredericton,Hospitals,2
qc,Sept-Rivières--Caniapiscau,kawawachikamach,Ambulatory health care services,1
sk,Unknown,watrous,Hospitals,1
on,Niagara,pelham,Nursing and residential care facilities,2
on,Thunder Bay,fort william first nation,Ambulatory health care services,3
qc,Nord-du-Québec,ivujivik,Ambulatory health care services,1
bc,Central Okanagan,west kelowna,Nursing and residential care facilities,2
nb,Westmorland,the glades,Nursing and residential care facilities,1
nb,Saint John,saint john,Nursing and residential care facilities,7
ns,Queens,greenfield,Nursing and residential care facilities,1
on,Grey,durham,Hospitals,1
sk,Unknown,assiniboia,Nursing and residential care facilities,1
nb,Madawaska,edmundston,Hospitals,1
qc,L'Islet,saint-jean-port-joli,Ambulatory health care services,1
on,Middlesex,london,Hospitals,7
on,Lambton,petrolia,Ambulatory health care services,1
pe,Kings,souris,Hospitals,1
sk,Division No.  6,strasbourg,Ambulatory health care services,1
on,Leeds and Grenville,brockville,Nursing and residential care facilities,7
pe,Kings,montague,Ambulatory health care services,2
ns,Cape Breton,dutch brook,Nursing and residential care facilities,1
sk,Division No. 12,delisle,Ambulatory health care services,1
qc,Acton,acton vale,Nursing and residential care facilities,1
sk,Unknown,esterhazy,Nursing and residential care facilities,1
bc,Cowichan Valley,cobble hill,Nursing and residential care facilities,2
nb,Madawaska,baker brook,Nursing and residential care facilities,1
nl,Unknown,st anthony,Nursing and residential care facilities,1
nl,Division No.  3,st albans,Ambulatory health care services,1
nb,Madawaska,edmundston,Nursing and residential care facilities,1
bc,Peace River,chetwynd,Hospitals,1
qc,Minganie--Le Golfe-du-Saint-Laurent,rivière-au-tonnerre,Ambulatory health care services,1
on,Bruce,chesley,Nursing and residential care facilities,3
on,Leeds and Grenville,jasper,Nursing and residential care facilities,1
qc,La Mitis,mont-joli,Hospitals,1
qc,Drummond,drummondville,Hospitals,3
sk,Unknown,north battleford,Nursing and residential care facilities,1
sk,Division No. 15,prince albert,Hospitals,2
on,Middlesex,delaware,Nursing and residential care facilities,1
on,Huron,wingham,Hospitals,1
on,Unknown,brantford,Ambulatory health care services,3
ab,Division No.  6,high river,Hospitals,1
on,Hastings,trenton,Hospitals,1
on,Oxford,ingersoll,Nursing and residential care facilities,3
on,Muskoka,gravenhurst,Nursing and residential care facilities,3
ns,Halifax,musquodoboit harbour,Nursing and residential care facilities,1
mb,Division No.  4,crystal city,Hospitals,1
qc,Drummond,drummondville,Nursing and residential care facilities,3
on,York,richmond hill,Ambulatory health care services,4
mb,Division No.  4,,Ambulatory health care services,1
qc,La Matanie,matane,Ambulatory health care services,2
on,Algoma,blind river,Ambulatory health care services,2
nb,Queens,mill cove,Nursing and residential care facilities,1
bc,Bulkley-Nechako,vanderhoof,Nursing and residential care facilities,1
sk,Division No. 10,raymore,Ambulatory health care services,1
on,Niagara,st catharines,Hospitals,3
sk,Division No. 11,saskatoon,Nursing and residential care facilities,14
qc,Les Collines-de-l'Outaouais,wakefield,Hospitals,1
ab,Division No. 17,high prairie,Hospitals,1
on,Lennox and Addington,northbrook,Nursing and residential care facilities,1
bc,Squamish-Lillooet,squamish,Nursing and residential care facilities,4
on,Huron,fordwich,Nursing and residential care facilities,1
on,Prince Edward,edward,Ambulatory health care services,3
ns,Cape Breton,sydney,Hospitals,1
qc,Les Sources,asbestos,Ambulatory health care services,2
on,Halton,oakville,Ambulatory health care services,9
qc,Pierre-De Saurel,sorel-tracy,Ambulatory health care services,3
on,Haldimand-Norfolk,waterford,Nursing and residential care facilities,1
on,Huron,goderich,Nursing and residential care facilities,4
on,Middlesex,ailsa craig,Nursing and residential care facilities,1
qc,Montréal,lachine,Nursing and residential care facilities,1
ab,Division No. 13,westlock,Hospitals,1
qc,Montréal,pointe-claire,Nursing and residential care facilities,3
nb,Albert,,Ambulatory health care services,1
ab,Division No.  5,drumheller,Hospitals,1
bc,Unknown,north vancouver,Nursing and residential care facilities,2
qc,La Matapédia,lac-au-saumon,Nursing and residential care facilities,1
qc,Sherbrooke,sherbrooke,Hospitals,8
bc,Bulkley-Nechako,smithers,Hospitals,1
qc,Bécancour,bécancour,Ambulatory health care services,3
sk,Unknown,spiritwood,Ambulatory health care services,1
bc,Mount Waddington,alert bay,Hospitals,1
ab,Unknown,mannville,Hospitals,1
on,Thunder Bay,manitouwadge,Hospitals,1
pe,Kings,souris,Nursing and residential care facilities,3
on,Frontenac,godfrey,Nursing and residential care facilities,1
mb,Unknown,west st paul,Nursing and residential care facilities,1
on,Durham,hampton,Nursing and residential care facilities,1
on,Durham,uxbridge,Hospitals,1
qc,Le Granit,lac-mégantic,Ambulatory health care services,2
on,Simcoe,midhurst,Ambulatory health care services,1
qc,Lac-Saint-Jean-Est,l'ascension-de-notre-seigneur,Ambulatory health care services,1
qc,Acton,acton vale,Ambulatory health care services,1
qc,Montréal,sainte-anne-de-bellevue,Hospitals,1
on,Elgin,st thomas,Nursing and residential care facilities,1
sk,Unknown,rosetown,Nursing and residential care facilities,1
sk,Division No. 15,wakaw,Hospitals,1
on,Northumberland,campbellford,Nursing and residential care facilities,4
nt,Unknown,hay river,Hospitals,1
qc,Maria-Chapdelaine,dolbeau-mistassini,Nursing and residential care facilities,2
qc,Avignon,matapédia,Ambulatory health care services,2
bc,Peace River,dawson creek,Hospitals,1
qc,Nord-du-Québec,waswanipi,Ambulatory health care services,2
ab,Division No. 17,fort vermilion,Hospitals,1
bc,Unknown,chilliwack,Nursing and residential care facilities,2
qc,Minganie--Le Golfe-du-Saint-Laurent,natashquan,Ambulatory health care services,1
qc,Nord-du-Québec,aupaluk,Ambulatory health care services,1
qc,La Tuque,la tuque,Hospitals,1
on,Unknown,port colborne,Ambulatory health care services,1
bc,Mount Waddington,port mcneill,Hospitals,1
mb,Division No. 21,,Ambulatory health care services,2
sk,Division No. 10,langenburg,Ambulatory health care services,1
qc,Matawinie,saint-jean-de-matha,Ambulatory health care services,1
mb,Division No.  7,carberry,Hospitals,1
sk,Division No. 17,meadow lake,Ambulatory health care services,2
on,Cochrane,jogues,Nursing and residential care facilities,1
ab,Division No. 10,tofield,Hospitals,1
qc,La Haute-Côte-Nord,tadoussac,Ambulatory health care services,1
on,Wellington,puslinch,Nursing and residential care facilities,1
on,Wellington,guelph,Ambulatory health care services,11
qc,Portneuf,saint-ubalde,Ambulatory health care services,1
yt,Yukon,faro,Ambulatory health care services,1
on,York,aurora,Nursing and residential care facilities,6
on,Prescott and Russell,clarence-rockland,Nursing and residential care facilities,5
on,Essex,amherstburg,Ambulatory health care services,2
mb,Division No.  5,melita,Hospitals,1
sk,Division No. 17,maidstone,Hospitals,1
qc,Bécancour,fortierville,Hospitals,1
ab,Division No. 17,high level,Hospitals,1
sk,Unknown,leoville,Nursing and residential care facilities,1
qc,Le Rocher-Percé,chandler,Hospitals,1
on,Simcoe,new tecumseth,Ambulatory health care services,1
qc,Roussillon,saint-constant,Nursing and residential care facilities,1
bc,Fraser Valley,chilliwack,Nursing and residential care facilities,11
on,Hastings,bancroft,Nursing and residential care facilities,2
bc,Greater Vancouver,coquitlam,Nursing and residential care facilities,20
ns,Halifax,eastern passage,Nursing and residential care facilities,1
qc,L'Islet,l'islet,Nursing and residential care facilities,1
qc,Lotbinière,saint-sylvestre,Nursing and residential care facilities,1
ns,Digby,conway,Nursing and residential care facilities,1
yt,Yukon,destruction bay,Ambulatory health care services,1
bc,Greater Vancouver,burnaby,Hospitals,1
sk,Unknown,porcupine plain,Nursing and residential care facilities,1
qc,Manicouagan,godbout,Ambulatory health care services,1
qc,Les Pays-d'en-Haut,sainte-adèle,Nursing and residential care facilities,2
on,Thunder Bay,thunder bay,Hospitals,2
bc,Central Kootenay,kaslo,Ambulatory health care services,1
bc,Unknown,new westminster,Hospitals,1
qc,Les Collines-de-l'Outaouais,pontiac,Ambulatory health care services,1
sk,Division No.  4,climax,Ambulatory health care services,1
ab,Division No. 17,manning,Hospitals,1
ns,Guysborough,sherbrooke,Hospitals,1
bc,Kootenay Boundary,trail,Hospitals,1
qc,La Haute-Gaspésie,sainte-anne-des-monts,Hospitals,1
qc,Montmagny,saint-antoine-de-l'isle-aux-grues,Ambulatory health care services,1
mb,Division No. 17,dauphin,Hospitals,1
bc,Thompson-Nicola,kamloops,Nursing and residential care facilities,29
on,Lambton,exeter,Ambulatory health care services,1
qc,Abitibi,preissac,Ambulatory health care services,1
qc,Les Basques,saint-clément,Ambulatory health care services,1
qc,Pontiac,shawville,Hospitals,1
on,Algoma,sault ste marie,Nursing and residential care facilities,12
ab,Unknown,sherwood park,Nursing and residential care facilities,2
qc,Robert-Cliche,saint-joseph-de-beauce,Nursing and residential care facilities,1
nb,Northumberland,miramichi,Nursing and residential care facilities,2
qc,Memphrémagog,potton,Nursing and residential care facilities,1
mb,Division No.  8,macgregor,Hospitals,1
bc,Cariboo,quesnel,Ambulatory health care services,1
on,Cochrane,cochrane,Nursing and residential care facilities,1
bc,Nanaimo,parksville,Nursing and residential care facilities,5
qc,La Haute-Côte-Nord,sacré-coeur,Ambulatory health care services,1
qc,Montréal,kirkland,Ambulatory health care services,3
on,Haldimand-Norfolk,dunnville,Nursing and residential care facilities,4
ab,Division No. 19,grimshaw,Hospitals,1
nb,Westmorland,dieppe,Ambulatory health care services,2
on,Durham,ajax,Ambulatory health care services,2
ab,Unknown,calgary,Hospitals,5
qc,Avignon,listuguj,Nursing and residential care facilities,1
qc,Le Granit,saint-ludger,Ambulatory health care services,1
qc,Unknown,rimouski,Hospitals,1
nb,Charlotte,st. stephen,Nursing and residential care facilities,1
qc,La Rivière-du-Nord,saint-jérôme,Hospitals,2
on,Elgin,west elgin,Ambulatory health care services,1
ns,Yarmouth,yarmouth,Hospitals,1
on,Essex,essex,Ambulatory health care services,4
qc,Le Haut-Richelieu,saint-jean-sur-richelieu,Hospitals,6
on,Wellington,erin,Nursing and residential care facilities,1
bc,Thompson-Nicola,sun peaks,Ambulatory health care services,1
qc,Témiscamingue,latulipe-et-gaboury,Ambulatory health care services,1
ab,Division No. 12,lac la biche,Hospitals,1
ns,Cape Breton,dominion,Nursing and residential care facilities,1
qc,Brome-Missisquoi,brigham,Ambulatory health care services,1
ns,Richmond,st peters,Nursing and residential care facilities,1
bc,North Okanagan,vernon,Hospitals,1
mb,Division No.  2,ste-anne,Hospitals,1
mb,Division No.  8,treherne,Hospitals,1
on,Brant,brantford,Ambulatory health care services,10
sk,Division No. 16,north battleford,Ambulatory health care services,2
sk,Division No.  6,regina,Hospitals,3
on,Parry Sound,parry sound,Nursing and residential care facilities,3
ab,Unknown,athabasca,Nursing and residential care facilities,1
sk,Division No.  8,elrose,Nursing and residential care facilities,1
on,Algoma,blind river,Nursing and residential care facilities,1
sk,Division No. 13,kerrobert,Hospitals,2
qc,Coaticook,coaticook,Ambulatory health care services,1
nb,Charlotte,grand manan,Nursing and residential care facilities,1
nb,Sunbury,oromocto,Hospitals,1
ab,Division No. 13,boyle,Hospitals,1
pe,Queens,mount herbert,Nursing and residential care facilities,1
qc,Pontiac,mansfield-et-pontefract,Nursing and residential care facilities,1
qc,Nord-du-Québec,matagami,Hospitals,1
ns,Antigonish,antgonish,Nursing and residential care facilities,1
on,Algoma,elliot lake,Hospitals,1
on,Perth,listowel,Nursing and residential care facilities,2
qc,Antoine-Labelle,notre-dame-du-laus,Ambulatory health care services,1
on,Parry Sound,powassan,Nursing and residential care facilities,1
nt,Region 6,yellowknife,Hospitals,1
bc,Fraser-Fort George,mackenzie,Hospitals,1
bc,Greater Vancouver,vancouver,Ambulatory health care services,38
sk,Division No.  8,leader,Hospitals,2
qc,Longueuil,longueuil,Ambulatory health care services,13
bc,Fraser Valley,hope,Hospitals,1
on,Muskoka,bracebridge,Hospitals,1
sk,Division No.  6,cupar,Ambulatory health care services,1
qc,Brome-Missisquoi,sutton,Ambulatory health care services,1
on,Kenora,moose factory,Hospitals,1
qc,Les Appalaches,adstock,Ambulatory health care services,1
on,Simcoe,penetanguishene,Hospitals,1
sk,Division No. 18,île-à-la-crosse,Hospitals,1
sk,Division No. 11,saskatoon,Hospitals,5
on,Haliburton,minden,Ambulatory health care services,1
qc,Montréal,côte-saint-luc,Ambulatory health care services,1
sk,Division No.  1,arcola,Hospitals,1
bc,Kitimat-Stikine,thornhill,Nursing and residential care facilities,1
on,Simcoe,orillia,Nursing and residential care facilities,12
qc,Minganie--Le Golfe-du-Saint-Laurent,aguanish,Ambulatory health care services,1
ab,Unknown,willingdon,Ambulatory health care services,1
on,Toronto,weston,Hospitals,1
sk,Division No. 14,smeaton,Ambulatory health care services,1
qc,Bellechasse,saint-raphaël,Nursing and residential care facilities,1
bc,Unknown,port coquitlam,Nursing and residential care facilities,1
qc,Nord-du-Québec,salluit,Ambulatory health care services,1
nb,Westmorland,sackville,Hospitals,1
bc,Unknown,nanaimo,Nursing and residential care facilities,1
qc,Maria-Chapdelaine,dolbeau-mistassini,Ambulatory health care services,3
qc,Kamouraska,saint-pascal,Nursing and residential care facilities,1
on,Hastings,belleville,Hospitals,1
qc,Francheville,sainte-geneviève-de-batiscan,Ambulatory health care services,1
qc,Communauté maritime des Îles-de-la-Madeleine,les îles-de-la-madeleine,Hospitals,1
qc,Les Sources,asbestos,Nursing and residential care facilities,1
bc,Bulkley-Nechako,houston,Nursing and residential care facilities,1
qc,Francheville,trois-rivières,Nursing and residential care facilities,10
qc,Memphrémagog,magog,Hospitals,1
on,Prescott and Russell,plantagenet,Ambulatory health care services,1
qc,Montmagny,saint-fabien-de-panet,Nursing and residential care facilities,1
nb,Queens,minto,Nursing and residential care facilities,1
ns,Hants,windsor,Hospitals,1
bc,Columbia-Shuswap,sicamous,Ambulatory health care services,1
qc,Avignon,maria,Ambulatory health care services,1
qc,Sept-Rivières--Caniapiscau,sept-îles,Hospitals,3
on,Wellington,erin,Ambulatory health care services,2
pe,Prince,wellington,Ambulatory health care services,1
on,Frontenac,maberly,Nursing and residential care facilities,1
yt,Yukon,watson lake,Ambulatory health care services,2
qc,Memphrémagog,magog,Ambulatory health care services,1
sk,Division No. 18,lloydminster,Nursing and residential care facilities,2
on,Elgin,aylmer,Ambulatory health care services,1
ab,Division No.  5,vulcan,Hospitals,1
on,Renfrew,petawawa,Ambulatory health care services,2
qc,La Vallée-du-Richelieu,chambly,Ambulatory health care services,1
on,Manitoulin,mindemoya,Hospitals,1
on,Leeds and Grenville,portland,Ambulatory health care services,1
ab,Unknown,barrhead,Nursing and residential care facilities,1
sk,Division No. 15,birch hills,Ambulatory health care services,1
bc,Greater Vancouver,aldergrove,Nursing and residential care facilities,2
sk,Unknown,regina,Ambulatory health care services,3
on,Leeds and Grenville,lombardy,Nursing and residential care facilities,1
sk,Division No. 17,st walburg,Nursing and residential care facilities,1
qc,Mirabel,mirabel,Ambulatory health care services,2
sk,Unknown,oxbow,Nursing and residential care facilities,1
on,"Stormont, Dundas and Glengarry",alexandria,Ambulatory health care services,1
on,Northumberland,brighton,Ambulatory health care services,1
on,Algoma,hornepayne,Hospitals,1
on,Unknown,simcoe,Ambulatory health care services,1
nl,Division No.  9,roddickton,Hospitals,1
sk,Division No.  6,strasbourg,Nursing and residential care facilities,1
on,Parry Sound,nobel,Ambulatory health care services,1
on,Huron,lakeside,Nursing and residential care facilities,1
ab,Unknown,lethbridge,Hospitals,1
nl,Unknown,gander,Nursing and residential care facilities,1
bc,Greater Vancouver,new westminster,Hospitals,1
bc,Greater Vancouver,maple ridge,Hospitals,1
on,Leeds and Grenville,kemptville,Ambulatory health care services,1
bc,Squamish-Lillooet,whistler,Ambulatory health care services,3
sk,Division No. 16,spiritwood,Ambulatory health care services,1
nb,Kent,bouctouche,Nursing and residential care facilities,1
qc,Témiscamingue,rémigny,Ambulatory health care services,1
qc,Rimouski-Neigette,rimouski,Hospitals,2
qc,Papineau,saint-andré-avellin,Ambulatory health care services,2
ns,Cape Breton,sydney mines,Hospitals,1
sk,Division No.  1,maryfield,Ambulatory health care services,1
yt,Yukon,ross river,Ambulatory health care services,1
sk,Division No. 10,foam lake,Ambulatory health care services,1
qc,Beauce-Sartigan,saint-georges,Hospitals,2
ab,Division No.  9,rocky mountain house,Hospitals,1
on,Renfrew,deep river,Hospitals,1
sk,Division No.  7,craik,Ambulatory health care services,1
sk,Unknown,st breiux,Nursing and residential care facilities,1
ab,Division No.  1,medicine hat,Hospitals,2
ab,Unknown,mayerthorpe,Nursing and residential care facilities,1
bc,Fraser Valley,surrey,Nursing and residential care facilities,1
on,Algoma,richards landing,Ambulatory health care services,1
on,Renfrew,cobden,Nursing and residential care facilities,1
ab,Division No.  4,hanna,Hospitals,1
qc,La Vallée-du-Richelieu,beloeil,Ambulatory health care services,3
yt,Yukon,watson lake,Hospitals,1
qc,Québec,québec,Hospitals,18
on,Simcoe,alliston,Hospitals,1
on,Grey,durham,Nursing and residential care facilities,2
on,Dufferin,orangeville,Nursing and residential care facilities,6
mb,Unknown,winkler,Hospitals,1
ab,Division No. 11,fort saskatchewan,Hospitals,2
on,York,vaughan,Ambulatory health care services,4
on,Huron,,Nursing and residential care facilities,1
nl,Division No. 10,happy valley-goose bay,Hospitals,1
on,Wellington,mount forest,Ambulatory health care services,2
mb,Division No. 21,snow lake,Hospitals,1
ab,Division No. 11,edmonton,Hospitals,10
qc,Montréal,beaconsfield,Nursing and residential care facilities,1
